Indonesia,Javanese
perbedaan yang paling mencolok antara keduanya adalah masalah sosialisasi  penyaluran  dan pelaporan,bedan ingkang paling mencolok antawis kekalihipun yaiku masalah sosialisasi penyaluran uga pelaporan 
pernyataan yang dikemukakan pejabat daerah juga seringkali tidak tepat ,yektosan ingkang dikemukakan pejabat daerah ugi seringkalimboten tepat 
sehingga menimbulkan kesalahpahaman antara sekolah dan komite sekolah atau orangtua murid,dadosipun menimbulkan kesalahpahaman antawis sekolah uga komite sekolah utawi tiyang sepuh murid 
mereka juga merasa terbantu dengan tidak adanya pungutan uang masuk sekolah dan berkurangnya pembelian buku pelajaran pokok,piyambake sedaya ugi rumaos terbantu kaliyan mboten entenipun pendhetan arta mlebet sekolah uga ngirangipun panumbas buku piwulang baku 
pernyataan ini konsisten dengan penilaian tingkat manfaat bagi siswa miskin dalam fgd seperti disebutkan sebelumnya,yektosan niki konsisten kaliyan pangaosan tingkat gina kunjuk siswa miskin lebet fgd kados kanamanaken saderengipun 
hampir semua orangtua murid yang anaknya dulu mendapat beasiswa bkm ternyata cenderung lebih suka dengan program bos,hampir sedaya tiyang sepuh murid ingkang anakipun riyen nyaged beasiswa bkm jebulna cenderung langkung remen kaliyan program bos 
bkm hanya diterima satu semester saja karena diberikan secara bergiliran ,bkm namung katampi setunggal semester kamawon amargi dipunsukakna sacara nggentosan 
dan bila anak yang bersekolah lebih dari satu maka biasanya hanya satu anak yang mendapat bkm dengan alasan pemerataan,uga menawi anak ingkang bersekolah langkung saking setunggal mila biyasanipun namung setunggal anak ingkang nyaged bkmkaliyan alasan pemerataan 
hasil kajian ini juga memperlihatkan posisi strategis sekolah sebagai ujung tombak pelaksanaan program ,pikantuk kajian niki ugi ningalaken posisi strategis sekolah dados ujung waos pamontenan program 
saransaran untuk penyempurnaan teknis dalam berbagai tahapan pelaksanaan program akan disajikan di subbab berikutnya,saransaran konjuk penyempurnaan teknis lebet macemmacem tahapan pamontenan program badhe dipuncawisaken ing subbab punikanipun 
dalam uraian berikut ini akan disampaikan pembahasan dan saran mengenai konsep program  khususnya berkaitan dengan,lebet uraian punika niki badhe katur pangrembagan uga saranngengingi konsep program khususnya berkaitan kaliyan 
kalau dikaitkan dengan mandat uu no  tahun  pasal  dan pasal  ,menawi dikaitkan kaliyan mandat uu no taun pasal uga pasal 
secara langsung ketentuan ini akan berdampak pada adanya diskriminasi atau perbedaan mutu pelayanan antarsekolah,sacara lajeng ketentuan niki badhe berdampak ing entenipun diskriminasi utawi bedan numa paladosan antarsekolah 
padahal dana yang diberikan melalui program bos tidak akan mencukupi untuk memberikan pelayanan pendidikan yang bermutu,padahal dana ingkang dipunsukakna langkung program bosmboten badhe nyekapi konjuk nyukakaken paladosan pamucalan ingkang bermutu 
perumusan ini tentunya didasari oleh pilihan politis mengenai tujuan program  yaitu apakah untuk,perumusan niki tentunya didasari dening pilehan politisngengingi tujuan program yaiku napa konjuk 
untuk mengatasi permasalahan ini dibutuhkan keberanian untuk menegaskan posisi di antara kedua pilihan tersebut,konjuk nginggili permasalahan niki dipunbetahaken kekendhelan konjuk menegaskan posisi ing antawis kaping kalih pilehan kesebat 
ada beberapa alternatif cara penargetan  di antaranya dengan penargetan wilayah dan penargetan individu,enten beberapa alternatif cara penargetan ing antawisipun kaliyan penargetan wilayah uga penargetan individu 
sebaiknya penentuan tidak dilakukan hanya oleh sekolah  tetapi oleh petugas tersendiri yang bersifat independen,sasaenipun penentuan mboten dipuntumindakake namung dening sekolah nanging dening panjejibahan piyambak ingkang bersifat independen 
langkah dan kehendak ke arah ini didukung oleh beberapa alasan  baik praktis maupun legal,jangkah uga kajeng datheng arah niki didukung dening beberapaalasan sae praktis kersaa legal 
program bantuan ini dalam praktiknya dikelola oleh unitunit kerja pada instansi pendidikan  termasuk sekolahmadrasah,program bantuan niki lebet praktiknya dikelola dening unitunit nyambut damel ing instansi pamucalan klebet sekolahmadrasah
pasal  ayat  uu no  tahun  tentang perimbangan keuangan antara pemerintah pusat dan pemerintah daerah menyatakan,pasal ayat uu no taun babagan perimbangankartan antawis pamerentah puser uga pamerentah daerahngginemaken 
dalam kaitan ini urusan madrasah menjadi dilematis,lebet kaitan niki urusan madrasah dados dilematis 
pasal  ayat  uu no  tahun  mengatakan,pasal ayat uu no taun ngginemaken 
 dak dialokasikan kepada daerah tertentu untuk mendanai kegiatan khusus yang merupakan urusan daerah , dak dialokasikan dhateng daerah tertentu konjuk mendanaikengungkukan khusus ingkang ngrupikaken urusan daerah 
rekomendasi untuk tiap tahapan pelaksanaan ,rekomendasi konjuk saben tahapan pamontenan 
sosialisasi v pelaksana program perlu mendapatkan pembekalan yang lebih baik,sosialisasi v pamonten program betah nyagedaken pembekalaningkang langkung sae 
sosialisasi untuk pelaksana program sebaiknya diberikan dalam bentuk pelatihan,sosialisasi konjuk pamonten program sasaenipun dipunsukakna lebet bentuk panglatian 
sosialisasi ke masyarakat juga perlu dilakukan melalui berbagai jalur  antara lain melalui,sosialisasi datheng masyarakat ugi betah dipuntumindakake langkung macemmacem jalur antawis benten langkung 
sekolah  media elektronik dan cetak  serta penyebaran brosur dan poster,sekolah miyambakipun elektronik uga cetak mawi penyebaranbrosur uga poster 
viii sekolah sebaiknya diberi kebebasan untuk membuka rekening di lembaga keuangan manapun,viii sekolah sasaenipun dipunsukani kebebasan konjuk mbikak rekening ing lembaga kartan pundia 
oleh karenanya  perlu adanya sosialisasi bagi banklembaga keuangan tempat rekening sekolah dibuka,sarehdentenipun betah entenipun sosialisasi kunjuk banklembaga kartan panggen rekening sekolah dipunbikak 
ixdana sebaiknya sudah masuk ke rekening sekolah pada awal semester agar sekolah bisa memanfaatkannya sesuai rapbs,ixdana sasaenipun sampun mlebet datheng rekening sekolahing awal semester kajengipun sekolah sanguh ngginakaken piyambakipun sami rapbs 
untuk menunjang kelancaran penyaluran dana perlu didukung penjadwalan tahapan pelaksanaan yang ketat lihat rekomendasi i,konjuk menunjang kelancaran penyaluran dana betah didukungpenjadwalan tahapan pamontenan ingkang ketat ningal rekomendasi i 
xi tidak diperlukan adanya pengaturan batas waktu pengambilan dana  mengingat kebutuhan sekolah tiap bulan tidak selalu sama,xi mboten dibetahaken entenipun panatanan wates wanci pamendhetan dana ngeling kebetahan sekolah wulanan mboten salajeng sami 
di samping itu  perlu dipertegas bahwa pencairan dan penggunaan dana tidak dibatasi hanya untuk satu semester saja,ing samping punika  betah dipertegas menawi pencairan uga pangginan dana mboten dipunwatesi namung konjuk setunggal semester kamawon 
kesepakatan tiap daerah ini harus dilaporkan dan mendapat persetujuan satker provinsi,kesepakatan saben daerah niki kedah dilaporkan uga nyaged persetujuan satker provinsi 
dinas pendidikan dan aparatnya di tingkat kecamatan harus melakukan pembinaan agar sekolah mampu menyusun rapbs dengan baik,dinas pamucalan uga aparatnya ing tingkat kecamatan kedah numindakake pembinaan kajengipun sekolah saged menyusunrapbs kaliyan sae 
xiv pemberian prioritas manfaat bagi murid miskin perlu lebih ditekankan dan disosialisasikan secara terbuka,xiv paweweh prioritas gina kunjuk murid miskin betah langkung ditekankan uga disosialisasikan sacara bikak 
di samping itu  perlu adanya aturan umum proses penentuan siswa miskin,ing samping punika  betah entenipun tatanan umum prosespenentuan siswa miskin 
hasil kegiatan tersebut harus memberikan umpan balik yang jelas kepada lembaga pelaksana,pikantuk kengungkukan kesebat kedah nyukakaken umpan walik ingkang pertela dhateng lembaga pamonten
unit monev independen ini juga melaksanakan fungsi penanganan pengaduan,unit monev independen niki ugi nglampahi gina pananganan panggigatan 
xxi keberadaan unit dan media pengaduan perlu disosialisasikan secara luas kepada masyarakat dan sekolah,xxi kewontenan unit uga miyambakipun panggigatan betah disosialisasikan sacara wiyar dhateng masyarakat uga sekolah 
selain itu  penyampaian informasi atas upaya tindak lanjut atau hasil penyelesaian setiap aduan harus disampaikan kepada pelapor,kajawi punika  penyampaian informasi inggil upaya tindak lajeng utawi pikantuk penyelesaian saben gigatan kedah katur dhateng pelapor 
hal ini diperlukan untuk membangun kepercayaan masyarakat atas efektivitas layanan unit pengaduan yang tersedia,hal niki dibetahaken konjuk mungu kapitadosan masyarakatinggil efektivitas ladosan unit panggigatan ingkang sampun dicawis 
selain itu  proses penanganan pengaduan yang ideal dan optimal memerlukan unsur,kajawi punika  proses pananganan panggigatan ingkang idealuga optimal mbetahaken unsur 
aduan juga harus didokumentasikan dan diupayakan untuk ditindaklanjuti,gigatan ugi kedah didokumentasikan uga diupayakan konjuk ditindaklanjuti 
xxvi sebaiknya penanggung jawab program diserahkan kepada departemen pendidikan nasional,xxvi sasaenipun pananggel wangsul program diserahkandhateng departemen pamucalan nasional 
pelaksana program di tingkat daerah diserahkan kepada dinas yang menangani masalah pendidikan,pamonten program ing tingkat daerah diserahkan dhateng dinasingkang nangani masalah pamucalan 
ukuran objektif kesejahteraan keluarga untuk penargetan kemiskinan,ukuran objektif kesejahteraan keluarga konjuk penargetankemiskinan 
pertama  sistem ini melibatkan masyarakat lokal  sehingga hasil yang didapat memanfaatkan pengetahuan lokal,setunggal sistem niki melibatkan masyarakat lokal dadosipun pikantuk ingkang dipunsaged ngginakaken pangasumerepan lokal 
kedua  indikator kemiskinan yang dihasilkan peka terhadap kondisi kemiskinan lokal  akurat  dan tidak mudah  dimodifikasi ,kaping kalih  indikator kemiskinan ingkang dipunpikantukaken peka majeng kondisi kemiskinan lokal akurat uga mboten gampil dimodifikasi 
karena alasan tersebut di atas  sejak krisis  pentingnya mekanisme penetapan sasaran yang sesuai telah mendapat perhatian,amargi alasan kesebat ing inggil ket krisis wigatinipun mekanisme penetapan sasaran ingkang sami sampun nyaged mirengan 
biaya dari masingmasing upaya  sensus masyarakat miskin  ini bukannya tidak berarti,biaya saking masingmasing upaya sensus masyarakatmiskin niki sanesipun mboten nduwe artos 
hal ini disebabkan oleh lemahnya metodologi dan minimnya pelatihan bagi para personel ,hal niki sangking dening lemahnya metodologi uga minimnyapanglatian kunjuk para personel 
ada beberapa perbedaan utama antara cbms dan sistem pemantauan kemiskinan yang bersifat tradisional,enten beberapa bedan utami antawis cbms uga sistempemantauan kemiskinan ingkang bersifat tradisional 
ketiga  cbms peka terhadap kondisikondisi yang bersifat lokal,ketelu  cbms peka majeng kondisikondisi ingkang bersifat lokal
hal ini penting karena kondisi kemiskinan seringkali berbeda bergantung pada kondisi lokalnya,hal niki wigati amargi kondisi kemiskinan seringkali benten bergantung ing kondisi lokalnya 
dengan demikian  aparat pemerintah dapat membuat pemeringkatan keluarga di suatu desa yang didasarkan pada kesejahteraannya,kaliyan mekaten aparat pamerentah saged ndamel pemeringkatan keluarga ing mukawis dhusun ingkang didasarkan ing kesejahteraannya 
informasi ini akan sangat penting untuk meningkatkan penetapan keakuratan sasaran program penanggulangan kemiskinan,informasi niki badhe wigati sanget konjuk ningkataken penetapankeakuratan sasaran program penanggulangan kemiskinan 
informasi tingkat desa diperoleh dengan menggunakan daftar kontrol terstruktur,informasi tingkat dhusun dipundeningaken kaliyan ngginakaken daftar kontrol terstruktur
keluhan umum terhadap data bkkbn adalah bahwa data ini dapat dengan mudah disabotase,keluhan umum majeng data bkkbn yaiku menawi data niki saged kaliyan gampil disabotase 
singkatnya  data dan metode pemrosesan yang kami pakai menjamin sabotase data menjadi lebih sulit dan hasilnya lebih objektif,singkatnya data uga metode pemrosesan ingkang kami angge njamaken sabotase data dados langkung rekaos uga pikantukipun langkung objektif 
pertama  bkkbn berpengalaman dalam melakukan sensus tingkat rumah tangga,setunggal bkkbn berpengalaman lebet numindakake sensustingkat griya tangga 
di hampir semua desa di indonesia  bkkbn memiliki kader di tingkat rt yang masih terus mengumpulkan data bkkbn setiap tahun,ing hampir sedaya dhusun ing indonesia bkkbn nggadhahi kader ing tingkat rt ingkang taksih terus ngempalaken databkkbn saben taun 
desa cbms proyek uji coba cbms terbatas hanya di provinsiprovinsi di pulau jawa,dhusun cbms proyek uji cobi cbms kewates namung ing provinsiprovinsi ing pulau jawi 
kabupaten pertama adalah cianjur di jawa barat dan lainnya adalah demak di jawa tengah,kabupaten setunggal yaiku cianjur ing jawi kilen uga bentenipun yaiku demak ing jawi madya 
dari setiap kabupaten  dipilih dua kecamatan dan di setiap kecamatan dipilih satu desa  hingga berjumlah empat desa,saking saben kabupaten dipunpileh kalih kecamatan uga ing saben kecamatan dipunpileh setunggal dhusun ngantos milangan sekawan dhusun 
setiap rumah tangga di desadesa tersebut didata,saben griya tangga ing dhusundhusun kesebat didata 
jarak dari ibu kota kabupaten ke kecamatan yang terpilih juga dipertimbangkan,antawis saking ibu kitha kabupaten datheng kecamatan ingkang kepileh ugi dipertimbangkan 
satu kecamatan berjarak jauh dari ibu kota kabupaten dan satu kecamatan lainnya berjarak dekat,setunggal kecamatan ngantawis tebih saking ibu kitha kabupatenuga setunggal kecamatan bentenipun ngantawis celak 
sampel tidak dimaksudkan menjadi representatif kabupaten atau kecamatan,sampel mboten dipunpangangkahaken dados representatifkabupaten utawi kecamatan 
desadesa terpilih di cianjur adalah desa parakantugu di kecamatan cijati dan desa cibulakan di kecamatan cugenang,dhusundhusun kepileh ing cianjur yaiku dhusun parakantuguing kecamatan cijati uga dhusun cibulakan ing kecamatancugenang 
sementara desa yang terpilih di demak adalah desa jungpasir di kecamatan wedung dan desa kedondong di kecamatan demak,sementara dhusun ingkang kepileh ing demak yaiku dhusun jungpasir ing kecamatan wedung uga dhusun kedondong ing kecamatan demak 
informasi dasar pada setiap desa ini dapat dilihat dalam tabel iv,informasi dasar ing saben dhusun niki saged dipunningal lebet tabel iv 
akan tetapi  kendala pengumpulan data tersebut telah diakui secara luas,nanging kendala pangempalan data kesebat sampun dipunkulani sacara wiyar 
keuntungan utama penggunaan pca adalah bahwa metode ini memperkenankan penentuan indikator kemiskinan yang berkarakteristik lokal,keuntungan utami pangginan pca yaiku menawi metode niki memperkenankan penentuan indikator kemiskinan ingkang berkarakteristik lokal 
